revenue_month,recognized_revenue_inr,ending_mrr_inr,ending_arr_inr,active_customers,new_customers,expansion_mrr_inr,upgrade_mrr_inr,reactivated_mrr_inr,yoy_mrr_growth_pct
2023-01-01,23115000,23115000,277380000,104,8,65000,0,0,
2023-02-01,25555000,25555000,306660000,114,10,65000,145000,0,
2023-03-01,28080000,28080000,336960000,125,12,80000,0,0,
2023-04-01,30125000,30125000,361500000,133,10,15000,155000,0,
2023-05-01,32415000,32415000,388980000,143,10,65000,120000,0,
2023-06-01,34755000,34755000,417060000,154,11,25000,0,0,
2023-07-01,37045000,37045000,444540000,164,10,0,100000,170000,
2023-08-01,38930000,38930000,467160000,174,10,140000,140000,0,
2023-09-01,42750000,42750000,513000000,186,13,45000,215000,0,
2023-10-01,45265000,45265000,543180000,198,12,155000,105000,120000,
2023-11-01,47840000,47840000,574080000,207,11,40000,140000,0,
2023-12-01,49785000,49785000,597420000,216,10,80000,115000,250000,
2024-01-01,51735000,51735000,620820000,224,9,45000,0,0,123.8
2024-02-01,54990000,54990000,659880000,236,11,15000,215000,385000,115.2
2024-03-01,59130000,59130000,709560000,250,13,180000,395000,130000,110.6
2024-04-01,61410000,61410000,736920000,260,11,130000,115000,0,103.9
2024-05-01,64410000,64410000,772920000,269,12,125000,435000,0,98.7
2024-06-01,68135000,68135000,817620000,283,13,25000,0,310000,96.0
2024-07-01,71630000,71630000,859560000,294,12,75000,140000,290000,93.4
2024-08-01,74060000,74060000,888720000,304,12,120000,0,0,90.2
2024-09-01,77390000,77390000,928680000,316,14,75000,435000,195000,81.0
2024-10-01,79885000,79885000,958620000,326,13,270000,415000,0,76.5
2024-11-01,82410000,82410000,988920000,337,12,110000,0,115000,72.3
2024-12-01,85125000,85125000,1021500000,346,11,165000,565000,500000,71.0
2025-01-01,89155000,89155000,1069860000,360,11,180000,290000,950000,72.3
2025-02-01,92195000,92195000,1106340000,373,13,160000,115000,90000,67.7
2025-03-01,96020000,96020000,1152240000,385,15,285000,120000,980000,62.4
2025-04-01,98010000,98010000,1176120000,395,13,180000,135000,0,59.6
2025-05-01,101820000,101820000,1221840000,406,13,145000,225000,0,58.1
2025-06-01,104065000,104065000,1248780000,416,14,265000,0,0,52.7
2025-07-01,107655000,107655000,1291860000,428,13,465000,245000,765000,50.3
2025-08-01,111375000,111375000,1336500000,440,13,265000,220000,105000,50.4
2025-09-01,114780000,114780000,1377360000,453,16,340000,375000,115000,48.3
2025-10-01,118640000,118640000,1423680000,467,15,425000,440000,565000,48.5
2025-11-01,122525000,122525000,1470300000,478,14,435000,375000,160000,48.7
2025-12-01,125770000,125770000,1509240000,489,13,150000,270000,165000,47.7
