revenue_month,active_customers,new_customers,reactivated_customers,permanently_churned_customers,net_new_minus_permanent_churn,net_active_customer_change,ending_arr_inr,avg_arr_per_active_customer_inr,permanent_churn_arr_lost_inr,yoy_arr_growth_pct,yoy_active_customer_growth_pct
2023-01-01,104,8,0,0,8,,277380000,2667115.0,0,,
2023-02-01,114,10,0,0,10,10,306660000,2690000.0,0,,
2023-03-01,125,12,0,0,12,11,336960000,2695680.0,0,,
2023-04-01,133,10,0,2,8,8,361500000,2718045.0,8400000,,
2023-05-01,143,10,0,0,10,10,388980000,2720140.0,0,,
2023-06-01,154,11,0,0,11,11,417060000,2708182.0,0,,
2023-07-01,164,10,1,0,10,10,444540000,2710610.0,0,,
2023-08-01,174,10,0,0,10,10,467160000,2684828.0,0,,
2023-09-01,186,13,0,0,13,12,513000000,2758065.0,0,,
2023-10-01,198,12,1,1,11,12,543180000,2743333.0,5520000,,
2023-11-01,207,11,0,1,10,9,574080000,2773333.0,1560000,,
2023-12-01,216,10,1,0,10,9,597420000,2765833.0,0,,
2024-01-01,224,9,0,0,9,8,620820000,2771518.0,0,123.8,115.4
2024-02-01,236,11,3,1,10,12,659880000,2796102.0,1980000,115.2,107.0
2024-03-01,250,13,1,0,13,14,709560000,2838240.0,0,110.6,100.0
2024-04-01,260,11,0,1,10,10,736920000,2834308.0,2340000,103.9,95.5
2024-05-01,269,12,0,2,10,9,772920000,2873309.0,6780000,98.7,88.1
2024-06-01,283,13,1,0,13,14,817620000,2889117.0,0,96.0,83.8
2024-07-01,294,12,1,1,11,11,859560000,2923673.0,1200000,93.4,79.3
2024-08-01,304,12,0,1,11,10,888720000,2923421.0,1140000,90.2,74.7
2024-09-01,316,14,1,0,14,12,928680000,2938861.0,0,81.0,69.9
2024-10-01,326,13,0,1,12,10,958620000,2940552.0,2040000,76.5,64.6
2024-11-01,337,12,1,0,12,11,988920000,2934481.0,0,72.3,62.8
2024-12-01,346,11,1,2,9,9,1021500000,2952312.0,7440000,71.0,60.2
2025-01-01,360,11,3,0,11,14,1069860000,2971833.0,0,72.3,60.7
2025-02-01,373,13,1,1,12,13,1106340000,2966059.0,1860000,67.7,58.1
2025-03-01,385,15,3,4,11,12,1152240000,2992831.0,7320000,62.4,54.0
2025-04-01,395,13,0,2,11,10,1176120000,2977519.0,4680000,59.6,51.9
2025-05-01,406,13,0,2,11,11,1221840000,3009458.0,4500000,58.1,50.9
2025-06-01,416,14,0,1,13,10,1248780000,3001875.0,1260000,52.7,47.0
2025-07-01,428,13,3,2,11,12,1291860000,3018364.0,5160000,50.3,45.6
2025-08-01,440,13,1,1,12,12,1336500000,3037500.0,1140000,50.4,44.7
2025-09-01,453,16,1,4,12,13,1377360000,3040530.0,15060000,48.3,43.4
2025-10-01,467,15,2,3,12,14,1423680000,3048565.0,10140000,48.5,43.3
2025-11-01,478,14,1,4,10,11,1470300000,3075941.0,14580000,48.7,41.8
2025-12-01,489,13,1,3,10,11,1509240000,3086380.0,9780000,47.7,41.3
