churn_id,customer_id,product_id,churn_date,churn_reason,mrr_lost_inr,tenure_months
CH0001,C0017,P002,2023-10-15,Missing Integration,460000,15
CH0002,C0033,P002,2024-12-15,Low Adoption,485000,26
CH0003,C0034,P002,2023-04-15,Implementation Complexity,350000,10
CH0004,C0047,P002,2024-05-15,Budget Cuts,400000,21
CH0005,C0052,P001,2023-11-15,Missing Integration,130000,19
CH0006,C0061,P002,2023-04-15,Implementation Complexity,350000,13
CH0007,C0077,P001,2024-07-15,Budget Cuts,100000,25
CH0008,C0081,P002,2025-03-15,Low Adoption,250000,27
CH0009,C0082,P001,2024-04-15,Budget Cuts,195000,23
CH0010,C0092,P001,2024-08-15,Vendor Consolidation,95000,26
CH0011,C0097,P001,2024-02-15,Missing Integration,165000,13
CH0012,C0125,P002,2025-09-15,Missing Integration,400000,30
CH0013,C0130,P001,2025-03-15,Missing Integration,150000,23
CH0014,C0136,P001,2025-02-15,Budget Cuts,155000,22
CH0015,C0137,P001,2025-10-15,Missing Integration,170000,29
CH0016,C0143,P001,2024-05-15,Vendor Consolidation,165000,12
CH0017,C0149,P002,2025-12-15,Missing Integration,400000,30
CH0018,C0169,P001,2025-05-15,Low Adoption,115000,21
CH0019,C0175,P002,2025-09-15,Budget Cuts,280000,25
CH0020,C0196,P002,2025-11-15,Low Adoption,340000,25
CH0021,C0210,P001,2024-10-15,Vendor Consolidation,170000,11
CH0022,C0227,P002,2025-05-15,Vendor Consolidation,260000,16
CH0023,C0233,P002,2025-12-15,Missing Integration,250000,22
CH0024,C0254,P001,2024-12-15,Vendor Consolidation,135000,9
CH0025,C0255,P001,2025-04-15,Budget Cuts,140000,13
CH0026,C0271,P001,2025-03-15,Low Adoption,100000,10
CH0027,C0273,P002,2025-04-15,Low Adoption,250000,11
CH0028,C0278,P001,2025-09-15,Missing Integration,165000,16
CH0029,C0280,P001,2025-03-15,Low Adoption,110000,9
CH0030,C0286,P001,2025-06-15,Missing Integration,105000,12
CH0031,C0291,P002,2025-10-15,Budget Cuts,515000,16
CH0032,C0328,P002,2025-07-15,Low Adoption,270000,10
CH0033,C0342,P001,2025-07-15,Missing Integration,160000,9
CH0034,C0351,P001,2025-08-15,Missing Integration,95000,9
CH0035,C0366,P002,2025-09-15,Budget Cuts,410000,9
CH0036,C0375,P001,2025-12-15,Missing Integration,165000,11
CH0037,C0377,P001,2025-10-15,Missing Integration,160000,9
CH0038,C0379,P002,2025-11-15,Low Adoption,400000,9
CH0039,C0387,P001,2025-11-15,Low Adoption,115000,9
CH0040,C0389,P002,2025-11-15,Low Adoption,360000,9
