revenue_id,revenue_month,customer_id,product_id,revenue_type,opening_mrr_inr,movement_mrr_inr,closing_mrr_inr,recognized_revenue_inr,arr_run_rate_inr
R000001,2023-01-01,C0001,P001,Recurring,95000,0,95000,95000,1140000
R000002,2023-02-01,C0001,P001,Recurring,95000,0,95000,95000,1140000
R000003,2023-03-01,C0001,P001,Recurring,95000,0,95000,95000,1140000
R000004,2023-04-01,C0001,P001,Recurring,95000,0,95000,95000,1140000
R000005,2023-05-01,C0001,P001,Recurring,95000,0,95000,95000,1140000
R000006,2023-06-01,C0001,P001,Recurring,95000,0,95000,95000,1140000
R000007,2023-07-01,C0001,P001,Recurring,95000,0,95000,95000,1140000
R000008,2023-08-01,C0001,P001,Expansion,95000,10000,105000,105000,1260000
R000009,2023-09-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000010,2023-10-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000011,2023-11-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000012,2023-12-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000013,2024-01-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000014,2024-02-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000015,2024-03-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000016,2024-04-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000017,2024-05-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000018,2024-06-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000019,2024-07-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000020,2024-08-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000021,2024-09-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000022,2024-10-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000023,2024-11-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000024,2024-12-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000025,2025-01-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000026,2025-02-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000027,2025-03-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000028,2025-04-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000029,2025-05-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000030,2025-06-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000031,2025-07-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000032,2025-08-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000033,2025-09-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000034,2025-10-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000035,2025-11-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
R000036,2025-12-01,C0001,P001,Recurring,105000,0,105000,105000,1260000
